Album,Artist(s),RollingStoneRating,ArtistName,,,,,,,,,,,,sql
What's Going On,Marvin Gaye,1,"(N'Marvin Gaye'),",,,,,,,,,,,,0
Pet Sounds,The Beach Boys,2,"(N'The Beach Boys'),",,,,,,,,,,,,"(N'Pet Sounds', N'The Beach Boys'),"
Blue,Joni Mitchell,3,"(N'Joni Mitchell'),",,,,,,,,,,,,"(N'Blue', N'Joni Mitchell'),"
Songs in the Key of Life,Stevie Wonder,4,"(N'Stevie Wonder'),",,,,,,,,,,,,"(N'Songs in the Key of Life', N'Stevie Wonder'),"
Abbey Road,The Beatles,5,"(N'The Beatles'),",,,,,,,,,,,,"(N'Abbey Road', N'The Beatles'),"
Nevermind,Nirvana,6,"(N'Nirvana'),",,,,,,,,,,,,"(N'Nevermind', N'Nirvana'),"
Rumours,Fleetwood Mac,7,"(N'Fleetwood Mac'),",,,,,,,,,,,,"(N'Rumours', N'Fleetwood Mac'),"
Purple Rain,Prince and the Revolution,8,"(N'Prince and the Revolution'),",,,,,,,,,,,,"(N'Purple Rain', N'Prince and the Revolution'),"
Blood on the Tracks,Bob Dylan,9,"(N'Bob Dylan'),",,,,,,,,,,,,"(N'Blood on the Tracks', N'Bob Dylan'),"
The Miseducation of Lauryn Hill,Lauryn Hill,10,"(N'Lauryn Hill'),",,,,,,,,,,,,"(N'The Miseducation of Lauryn Hill', N'Lauryn Hill'),"
Revolver,The Beatles,11,"(N'The Beatles'),",,,,,,,,,,,,"(N'Revolver', N'The Beatles'),"
Thriller,Michael Jackson,12,"(N'Michael Jackson'),",,,,,,,,,,,,"(N'Thriller', N'Michael Jackson'),"
I Never Loved a Man the Way I Love You,Aretha Franklin,13,"(N'Aretha Franklin'),",,,,,,,,,,,,"(N'I Never Loved a Man the Way I Love You', N'Aretha Franklin'),"
Exile on Main St.,The Rolling Stones,14,"(N'The Rolling Stones'),",,,,,,,,,,,,"(N'Exile on Main St.', N'The Rolling Stones'),"
It Takes a Nation of Millions to Hold Us Back,Public Enemy,15,"(N'Public Enemy'),",,,,,,,,,,,,"(N'It Takes a Nation of Millions to Hold Us Back', N'Public Enemy'),"
London Calling,The Clash,16,"(N'The Clash'),",,,,,,,,,,,,"(N'London Calling', N'The Clash'),"
My Beautiful Dark Twisted Fantasy,Kanye West,17,"(N'Kanye West'),",,,,,,,,,,,,"(N'My Beautiful Dark Twisted Fantasy', N'Kanye West'),"
Highway 61 Revisited,Bob Dylan,18,"(N'Bob Dylan'),",,,,,,,,,,,,"(N'Highway 61 Revisited', N'Bob Dylan'),"
To Pimp a Butterfly,Kendrick Lamar,19,"(N'Kendrick Lamar'),",,,,,,,,,,,,"(N'To Pimp a Butterfly', N'Kendrick Lamar'),"
Kid A,Radiohead,20,"(N'Radiohead'),",,,,,,,,,,,,"(N'Kid A', N'Radiohead'),"
Born to Run,Bruce Springsteen,21,"(N'Bruce Springsteen'),",,,,,,,,,,,,"(N'Born to Run', N'Bruce Springsteen'),"
Ready to Die,The Notorious B.I.G.,22,"(N'The Notorious B.I.G.'),",,,,,,,,,,,,"(N'Ready to Die', N'The Notorious B.I.G.'),"
The Velvet Underground & Nico,The Velvet Underground,23,"(N'The Velvet Underground'),",,,,,,,,,,,,"(N'The Velvet Underground & Nico', N'The Velvet Underground'),"
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,24,"(N'The Beatles'),",,,,,,,,,,,,"(N'Sgt. Pepper's Lonely Hearts Club Band', N'The Beatles'),"
Tapestry,Carole King,25,"(N'Carole King'),",,,,,,,,,,,,"(N'Tapestry', N'Carole King'),"
Horses,Patti Smith,26,"(N'Patti Smith'),",,,,,,,,,,,,"(N'Horses', N'Patti Smith'),"
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,27,"(N'Wu-Tang Clan'),",,,,,,,,,,,,"(N'Enter the Wu-Tang (36 Chambers)', N'Wu-Tang Clan'),"
Voodoo,D'Angelo,28,"(N'D'Angelo'),",,,,,,,,,,,,"(N'Voodoo', N'D'Angelo'),"
The Beatles,The Beatles,29,"(N'The Beatles'),",,,,,,,,,,,,"(N'The Beatles', N'The Beatles'),"
Are You Experienced,The Jimi Hendrix Experience,30,"(N'The Jimi Hendrix Experience'),",,,,,,,,,,,,"(N'Are You Experienced', N'The Jimi Hendrix Experience'),"
Kind of Blue,Miles Davis,31,"(N'Miles Davis'),",,,,,,,,,,,,"(N'Kind of Blue', N'Miles Davis'),"
Lemonade,Beyoncé,32,"(N'Beyoncé'),",,,,,,,,,,,,"(N'Lemonade', N'Beyoncé'),"
Back to Black,Amy Winehouse,33,"(N'Amy Winehouse'),",,,,,,,,,,,,"(N'Back to Black', N'Amy Winehouse'),"
Innervisions,Stevie Wonder,34,"(N'Stevie Wonder'),",,,,,,,,,,,,"(N'Innervisions', N'Stevie Wonder'),"
Rubber Soul,The Beatles,35,"(N'The Beatles'),",,,,,,,,,,,,"(N'Rubber Soul', N'The Beatles'),"
Off the Wall,Michael Jackson,36,"(N'Michael Jackson'),",,,,,,,,,,,,"(N'Off the Wall', N'Michael Jackson'),"
The Chronic,Dr. Dre,37,"(N'Dr. Dre'),",,,,,,,,,,,,"(N'The Chronic', N'Dr. Dre'),"
Blonde on Blonde,Bob Dylan,38,"(N'Bob Dylan'),",,,,,,,,,,,,"(N'Blonde on Blonde', N'Bob Dylan'),"
Remain in Light,Talking Heads,39,"(N'Talking Heads'),",,,,,,,,,,,,"(N'Remain in Light', N'Talking Heads'),"
The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,40,"(N'David Bowie'),",,,,,,,,,,,,"(N'The Rise and Fall of Ziggy Stardust and the Spiders from Mars', N'David Bowie'),"
Let It Bleed,The Rolling Stones,41,"(N'The Rolling Stones'),",,,,,,,,,,,,"(N'Let It Bleed', N'The Rolling Stones'),"
OK Computer,Radiohead,42,"(N'Radiohead'),",,,,,,,,,,,,"(N'OK Computer', N'Radiohead'),"
The Low End Theory,A Tribe Called Quest,43,"(N'A Tribe Called Quest'),",,,,,,,,,,,,"(N'The Low End Theory', N'A Tribe Called Quest'),"
Illmatic,Nas,44,"(N'Nas'),",,,,,,,,,,,,"(N'Illmatic', N'Nas'),"
Sign o' the Times,Prince,45,"(N'Prince'),",,,,,,,,,,,,"(N'Sign o' the Times', N'Prince'),"
Graceland,Paul Simon,46,"(N'Paul Simon'),",,,,,,,,,,,,"(N'Graceland', N'Paul Simon'),"
Ramones,Ramones,47,"(N'Ramones'),",,,,,,,,,,,,"(N'Ramones', N'Ramones'),"
Legend,Bob Marley and the Wailers,48,"(N'Bob Marley and the Wailers'),",,,,,,,,,,,,"(N'Legend', N'Bob Marley and the Wailers'),"
Aquemini,Outkast,49,"(N'Outkast'),",,,,,,,,,,,,"(N'Aquemini', N'Outkast'),"
The Blueprint,Jay-Z,50,"(N'Jay-Z'),",,,,,,,,,,,,"(N'The Blueprint', N'Jay-Z'),"
The Great Twenty-Eight,Chuck Berry,51,"(N'Chuck Berry'),",,,,,,,,,,,,"(N'The Great Twenty-Eight', N'Chuck Berry'),"
Station to Station,David Bowie,52,"(N'David Bowie'),",,,,,,,,,,,,"(N'Station to Station', N'David Bowie'),"
Electric Ladyland,The Jimi Hendrix Experience,53,"(N'The Jimi Hendrix Experience'),",,,,,,,,,,,,"(N'Electric Ladyland', N'The Jimi Hendrix Experience'),"
Star Time,James Brown,54,"(N'James Brown'),",,,,,,,,,,,,"(N'Star Time', N'James Brown'),"
The Dark Side of the Moon,Pink Floyd,55,"(N'Pink Floyd'),",,,,,,,,,,,,"(N'The Dark Side of the Moon', N'Pink Floyd'),"
Exile in Guyville,Liz Phair,56,"(N'Liz Phair'),",,,,,,,,,,,,"(N'Exile in Guyville', N'Liz Phair'),"
The Band,The Band,57,"(N'The Band'),",,,,,,,,,,,,"(N'The Band', N'The Band'),"
Led Zeppelin IV,Led Zeppelin,58,"(N'Led Zeppelin'),",,,,,,,,,,,,"(N'Led Zeppelin IV', N'Led Zeppelin'),"
Talking Book,Stevie Wonder,59,"(N'Stevie Wonder'),",,,,,,,,,,,,"(N'Talking Book', N'Stevie Wonder'),"
Astral Weeks,Van Morrison,60,"(N'Van Morrison'),",,,,,,,,,,,,"(N'Astral Weeks', N'Van Morrison'),"
Paid in Full,Eric B. & Rakim,61,"(N'Eric B. & Rakim'),",,,,,,,,,,,,"(N'Paid in Full', N'Eric B. & Rakim'),"
Appetite for Destruction,Guns N' Roses,62,"(N'Guns N' Roses'),",,,,,,,,,,,,"(N'Appetite for Destruction', N'Guns N' Roses'),"
Aja,Steely Dan,63,"(N'Steely Dan'),",,,,,,,,,,,,"(N'Aja', N'Steely Dan'),"
Stankonia,Outkast,64,"(N'Outkast'),",,,,,,,,,,,,"(N'Stankonia', N'Outkast'),"
Live at the Apollo,James Brown,65,"(N'James Brown'),",,,,,,,,,,,,"(N'Live at the Apollo', N'James Brown'),"
A Love Supreme,John Coltrane,66,"(N'John Coltrane'),",,,,,,,,,,,,"(N'A Love Supreme', N'John Coltrane'),"
Reasonable Doubt,Jay-Z,67,"(N'Jay-Z'),",,,,,,,,,,,,"(N'Reasonable Doubt', N'Jay-Z'),"
Hounds of Love,Kate Bush,68,"(N'Kate Bush'),",,,,,,,,,,,,"(N'Hounds of Love', N'Kate Bush'),"
Jagged Little Pill,Alanis Morissette,69,"(N'Alanis Morissette'),",,,,,,,,,,,,"(N'Jagged Little Pill', N'Alanis Morissette'),"
Straight Outta Compton,N.W.A,70,"(N'N.W.A'),",,,,,,,,,,,,"(N'Straight Outta Compton', N'N.W.A'),"
Exodus,Bob Marley and the Wailers,71,"(N'Bob Marley and the Wailers'),",,,,,,,,,,,,"(N'Exodus', N'Bob Marley and the Wailers'),"
Harvest,Neil Young,72,"(N'Neil Young'),",,,,,,,,,,,,"(N'Harvest', N'Neil Young'),"
Loveless,My Bloody Valentine,73,"(N'My Bloody Valentine'),",,,,,,,,,,,,"(N'Loveless', N'My Bloody Valentine'),"
The College Dropout,Kanye West,74,"(N'Kanye West'),",,,,,,,,,,,,"(N'The College Dropout', N'Kanye West'),"
Lady Soul,Aretha Franklin,75,"(N'Aretha Franklin'),",,,,,,,,,,,,"(N'Lady Soul', N'Aretha Franklin'),"
Super Fly,Curtis Mayfield,76,"(N'Curtis Mayfield'),",,,,,,,,,,,,"(N'Super Fly', N'Curtis Mayfield'),"
Who's Next,The Who,77,"(N'The Who'),",,,,,,,,,,,,"(N'Who's Next', N'The Who'),"
The Sun Sessions,Elvis Presley,78,"(N'Elvis Presley'),",,,,,,,,,,,,"(N'The Sun Sessions', N'Elvis Presley'),"
Blonde,Frank Ocean,79,"(N'Frank Ocean'),",,,,,,,,,,,,"(N'Blonde', N'Frank Ocean'),"
"Never Mind the Bollocks, Here's the Sex Pistols",Sex Pistols,80,"(N'Sex Pistols'),",,,,,,,,,,,,"(N'Never Mind the Bollocks, Here's the Sex Pistols', N'Sex Pistols'),"
Beyoncé,Beyoncé,81,"(N'Beyoncé'),",,,,,,,,,,,,"(N'Beyoncé', N'Beyoncé'),"
There's a Riot Goin' On,Sly and the Family Stone,82,"(N'Sly and the Family Stone'),",,,,,,,,,,,,"(N'There's a Riot Goin' On', N'Sly and the Family Stone'),"
Dusty in Memphis,Dusty Springfield,83,"(N'Dusty Springfield'),",,,,,,,,,,,,"(N'Dusty in Memphis', N'Dusty Springfield'),"
Back in Black,AC/DC,84,"(N'AC/DC'),",,,,,,,,,,,,"(N'Back in Black', N'AC/DC'),"
John Lennon/Plastic Ono Band,John Lennon,85,"(N'John Lennon'),",,,,,,,,,,,,"(N'John Lennon/Plastic Ono Band', N'John Lennon'),"
The Doors,The Doors,86,"(N'The Doors'),",,,,,,,,,,,,"(N'The Doors', N'The Doors'),"
Bitches Brew,Miles Davis,87,"(N'Miles Davis'),",,,,,,,,,,,,"(N'Bitches Brew', N'Miles Davis'),"
Hunky Dory,David Bowie,88,"(N'David Bowie'),",,,,,,,,,,,,"(N'Hunky Dory', N'David Bowie'),"
Baduizm,Erykah Badu,89,"(N'Erykah Badu'),",,,,,,,,,,,,"(N'Baduizm', N'Erykah Badu'),"
After the Gold Rush,Neil Young,90,"(N'Neil Young'),",,,,,,,,,,,,"(N'After the Gold Rush', N'Neil Young'),"
Darkness on the Edge of Town,Bruce Springsteen,91,"(N'Bruce Springsteen'),",,,,,,,,,,,,"(N'Darkness on the Edge of Town', N'Bruce Springsteen'),"
Axis: Bold as Love,The Jimi Hendrix Experience,92,"(N'The Jimi Hendrix Experience'),",,,,,,,,,,,,"(N'Axis: Bold as Love', N'The Jimi Hendrix Experience'),"
Supa Dupa Fly,Missy Elliott,93,"(N'Missy Elliott'),",,,,,,,,,,,,"(N'Supa Dupa Fly', N'Missy Elliott'),"
Fun House,The Stooges,94,"(N'The Stooges'),",,,,,,,,,,,,"(N'Fun House', N'The Stooges'),"
Take Care,Drake,95,"(N'Drake'),",,,,,,,,,,,,"(N'Take Care', N'Drake'),"
Automatic for the People,R.E.M.,96,"(N'R.E.M.'),",,,,,,,,,,,,"(N'Automatic for the People', N'R.E.M.'),"
Master of Puppets,Metallica,97,"(N'Metallica'),",,,,,,,,,,,,"(N'Master of Puppets', N'Metallica'),"
Car Wheels on a Gravel Road,Lucinda Williams,98,"(N'Lucinda Williams'),",,,,,,,,,,,,"(N'Car Wheels on a Gravel Road', N'Lucinda Williams'),"
Red,Taylor Swift,99,"(N'Taylor Swift'),",,,,,,,,,,,,"(N'Red', N'Taylor Swift'),"
Music from Big Pink,The Band,100,"(N'The Band'),",,,,,,,,,,,,"(N'Music from Big Pink', N'The Band'),"
Led Zeppelin,Led Zeppelin,101,"(N'Led Zeppelin'),",,,,,,,,,,,,"(N'Led Zeppelin', N'Led Zeppelin'),"
The Clash,The Clash,102,"(N'The Clash'),",,,,,,,,,,,,"(N'The Clash', N'The Clash'),"
3 Feet High and Rising,De La Soul,103,"(N'De La Soul'),",,,,,,,,,,,,"(N'3 Feet High and Rising', N'De La Soul'),"
Sticky Fingers,The Rolling Stones,104,"(N'The Rolling Stones'),",,,,,,,,,,,,"(N'Sticky Fingers', N'The Rolling Stones'),"
At Fillmore East,The Allman Brothers Band,105,"(N'The Allman Brothers Band'),",,,,,,,,,,,,"(N'At Fillmore East', N'The Allman Brothers Band'),"
Live Through This,Hole,106,"(N'Hole'),",,,,,,,,,,,,"(N'Live Through This', N'Hole'),"
Marquee Moon,Television,107,"(N'Television'),",,,,,,,,,,,,"(N'Marquee Moon', N'Television'),"
When the Pawn...,Fiona Apple,108,"(N'Fiona Apple'),",,,,,,,,,,,,"(N'When the Pawn...', N'Fiona Apple'),"
Transformer,Lou Reed,109,"(N'Lou Reed'),",,,,,,,,,,,,"(N'Transformer', N'Lou Reed'),"
